run,array_type,size,algorithm,time_us,char_comparisons,seed
1,"random",1900,"QuickSort",466,301080,20260524
1,"random",1900,"MergeSort",1023,25535,20260524
1,"random",1900,"StringQuickSort",130,21913,20260524
1,"random",1900,"StringMergeSort",1525,16646,20260524
1,"random",1900,"MSDRadixSort",373,4343,20260524
1,"random",1900,"MSDRadixQuickSort",216,10662,20260524
1,"random",2000,"QuickSort",470,316934,20260524
1,"random",2000,"MergeSort",1046,27165,20260524
1,"random",2000,"StringQuickSort",136,26395,20260524
1,"random",2000,"StringMergeSort",1573,17565,20260524
1,"random",2000,"MSDRadixSort",388,4593,20260524
1,"random",2000,"MSDRadixQuickSort",216,11248,20260524
1,"random",2100,"QuickSort",503,333545,20260524
1,"random",2100,"MergeSort",1064,28835,20260524
1,"random",2100,"StringQuickSort",136,23954,20260524
1,"random",2100,"StringMergeSort",1579,18591,20260524
1,"random",2100,"MSDRadixSort",393,4848,20260524
1,"random",2100,"MSDRadixQuickSort",219,12159,20260524
1,"random",2200,"QuickSort",500,343146,20260524
1,"random",2200,"MergeSort",1115,30525,20260524
1,"random",2200,"StringQuickSort",142,25732,20260524
1,"random",2200,"StringMergeSort",1651,19616,20260524
1,"random",2200,"MSDRadixSort",409,5099,20260524
1,"random",2200,"MSDRadixQuickSort",225,13007,20260524
1,"random",2300,"QuickSort",513,363635,20260524
1,"random",2300,"MergeSort",1156,32245,20260524
1,"random",2300,"StringQuickSort",148,31612,20260524
1,"random",2300,"StringMergeSort",1693,20656,20260524
1,"random",2300,"MSDRadixSort",417,5358,20260524
1,"random",2300,"MSDRadixQuickSort",237,13567,20260524
1,"random",2400,"QuickSort",523,378306,20260524
1,"random",2400,"MergeSort",1176,33941,20260524
1,"random",2400,"StringQuickSort",153,29131,20260524
1,"random",2400,"StringMergeSort",1737,21677,20260524
1,"random",2400,"MSDRadixSort",431,5623,20260524
1,"random",2400,"MSDRadixQuickSort",240,14446,20260524
1,"random",2500,"QuickSort",531,394919,20260524
1,"random",2500,"MergeSort",1202,35690,20260524
1,"random",2500,"StringQuickSort",152,29755,20260524
1,"random",2500,"StringMergeSort",1783,22724,20260524
1,"random",2500,"MSDRadixSort",444,5878,20260524
1,"random",2500,"MSDRadixQuickSort",247,15152,20260524
1,"random",2600,"QuickSort",547,414306,20260524
1,"random",2600,"MergeSort",1220,37366,20260524
1,"random",2600,"StringQuickSort",156,32198,20260524
1,"random",2600,"StringMergeSort",1812,23775,20260524
1,"random",2600,"MSDRadixSort",453,6141,20260524
1,"random",2600,"MSDRadixQuickSort",248,15835,20260524
1,"random",2700,"QuickSort",563,429342,20260524
1,"random",2700,"MergeSort",1251,39142,20260524
1,"random",2700,"StringQuickSort",162,31169,20260524
1,"random",2700,"StringMergeSort",1834,24848,20260524
1,"random",2700,"MSDRadixSort",456,6406,20260524
1,"random",2700,"MSDRadixQuickSort",252,16549,20260524
1,"random",2800,"QuickSort",574,448122,20260524
1,"random",2800,"MergeSort",1321,40903,20260524
1,"random",2800,"StringQuickSort",167,35406,20260524
1,"random",2800,"StringMergeSort",1939,25879,20260524
1,"random",2800,"MSDRadixSort",484,6677,20260524
1,"random",2800,"MSDRadixQuickSort",263,17536,20260524
1,"random",2900,"QuickSort",609,453737,20260524
1,"random",2900,"MergeSort",1361,42724,20260524
1,"random",2900,"StringQuickSort",177,35162,20260524
1,"random",2900,"StringMergeSort",2002,26968,20260524
1,"random",2900,"MSDRadixSort",510,6946,20260524
1,"random",2900,"MSDRadixQuickSort",275,18459,20260524
1,"random",3000,"QuickSort",611,475342,20260524
1,"random",3000,"MergeSort",1437,44509,20260524
1,"random",3000,"StringQuickSort",183,36282,20260524
1,"random",3000,"StringMergeSort",2072,27969,20260524
1,"random",3000,"MSDRadixSort",544,7227,20260524
1,"random",3000,"MSDRadixQuickSort",286,19008,20260524
1,"reverse_sorted",100,"QuickSort",12,12189,20260524
1,"reverse_sorted",100,"MergeSort",31,675,20260524
1,"reverse_sorted",100,"StringQuickSort",2,573,20260524
1,"reverse_sorted",100,"StringMergeSort",48,382,20260524
1,"reverse_sorted",100,"MSDRadixSort",19,241,20260524
1,"reverse_sorted",100,"MSDRadixQuickSort",8,511,20260524
1,"reverse_sorted",200,"QuickSort",26,29993,20260524
1,"reverse_sorted",200,"MergeSort",55,1444,20260524
1,"reverse_sorted",200,"StringQuickSort",4,1306,20260524
1,"reverse_sorted",200,"StringMergeSort",99,753,20260524
1,"reverse_sorted",200,"MSDRadixSort",37,483,20260524
1,"reverse_sorted",200,"MSDRadixQuickSort",16,1030,20260524
1,"reverse_sorted",300,"QuickSort",36,39368,20260524
1,"reverse_sorted",300,"MergeSort",85,2261,20260524
1,"reverse_sorted",300,"StringQuickSort",7,2097,20260524
1,"reverse_sorted",300,"StringMergeSort",149,1110,20260524
1,"reverse_sorted",300,"MSDRadixSort",56,735,20260524
1,"reverse_sorted",300,"MSDRadixQuickSort",23,1577,20260524
1,"reverse_sorted",400,"QuickSort",52,58910,20260524
1,"reverse_sorted",400,"MergeSort",112,3160,20260524
1,"reverse_sorted",400,"StringQuickSort",9,2990,20260524
1,"reverse_sorted",400,"StringMergeSort",202,1567,20260524
1,"reverse_sorted",400,"MSDRadixSort",69,976,20260524
1,"reverse_sorted",400,"MSDRadixQuickSort",30,2128,20260524
1,"reverse_sorted",500,"QuickSort",55,60687,20260524
1,"reverse_sorted",500,"MergeSort",146,3846,20260524
1,"reverse_sorted",500,"StringQuickSort",12,3856,20260524
1,"reverse_sorted",500,"StringMergeSort",255,1887,20260524
1,"reverse_sorted",500,"MSDRadixSort",86,1205,20260524
1,"reverse_sorted",500,"MSDRadixQuickSort",37,2647,20260524
1,"reverse_sorted",600,"QuickSort",71,80486,20260524
1,"reverse_sorted",600,"MergeSort",174,4903,20260524
1,"reverse_sorted",600,"StringQuickSort",12,4706,20260524
1,"reverse_sorted",600,"StringMergeSort",317,2321,20260524
1,"reverse_sorted",600,"MSDRadixSort",102,1449,20260524
1,"reverse_sorted",600,"MSDRadixQuickSort",45,3199,20260524
1,"reverse_sorted",700,"QuickSort",91,102368,20260524
1,"reverse_sorted",700,"MergeSort",207,5951,20260524
1,"reverse_sorted",700,"StringQuickSort",16,5620,20260524
1,"reverse_sorted",700,"StringMergeSort",373,2867,20260524
1,"reverse_sorted",700,"MSDRadixSort",121,1691,20260524
1,"reverse_sorted",700,"MSDRadixQuickSort",53,3741,20260524
1,"reverse_sorted",800,"QuickSort",104,117231,20260524
1,"reverse_sorted",800,"MergeSort",235,6723,20260524
1,"reverse_sorted",800,"StringQuickSort",17,6626,20260524
1,"reverse_sorted",800,"StringMergeSort",430,3177,20260524
1,"reverse_sorted",800,"MSDRadixSort",137,1929,20260524
1,"reverse_sorted",800,"MSDRadixQuickSort",59,4270,20260524
1,"reverse_sorted",900,"QuickSort",106,119502,20260524
1,"reverse_sorted",900,"MergeSort",278,7576,20260524
1,"reverse_sorted",900,"StringQuickSort",21,7592,20260524
1,"reverse_sorted",900,"StringMergeSort",497,3553,20260524
1,"reverse_sorted",900,"MSDRadixSort",154,2174,20260524
1,"reverse_sorted",900,"MSDRadixQuickSort",65,4809,20260524
1,"reverse_sorted",1000,"QuickSort",107,119099,20260524
1,"reverse_sorted",1000,"MergeSort",319,8239,20260524
1,"reverse_sorted",1000,"StringQuickSort",24,8531,20260524
1,"reverse_sorted",1000,"StringMergeSort",566,3836,20260524
1,"reverse_sorted",1000,"MSDRadixSort",175,2416,20260524
1,"reverse_sorted",1000,"MSDRadixQuickSort",76,5342,20260524
