array_type,size,algorithm,mean_time_us,mean_char_comparisons,runs,seed
"nearly_sorted",1400,"MSDRadixQuickSort",115.300,7399.900,10,20260524
"nearly_sorted",1400,"MSDRadixSort",230.900,3340.600,10,20260524
"nearly_sorted",1400,"MergeSort",496.500,16342.700,10,20260524
"nearly_sorted",1400,"QuickSort",223.300,207549.900,10,20260524
"nearly_sorted",1400,"StringMergeSort",849.400,6238.600,10,20260524
"nearly_sorted",1400,"StringQuickSort",44.200,13213.900,10,20260524
"nearly_sorted",1500,"MSDRadixQuickSort",124.800,7973.800,10,20260524
"nearly_sorted",1500,"MSDRadixSort",244.300,3586.300,10,20260524
"nearly_sorted",1500,"MergeSort",539.500,17821.000,10,20260524
"nearly_sorted",1500,"QuickSort",248.400,223663.300,10,20260524
"nearly_sorted",1500,"StringMergeSort",916.500,6813.900,10,20260524
"nearly_sorted",1500,"StringQuickSort",49.200,14310.100,10,20260524
"nearly_sorted",1600,"MSDRadixQuickSort",135.400,8555.400,10,20260524
"nearly_sorted",1600,"MSDRadixSort",263.000,3834.500,10,20260524
"nearly_sorted",1600,"MergeSort",590.900,19253.300,10,20260524
"nearly_sorted",1600,"QuickSort",256.600,238847.900,10,20260524
"nearly_sorted",1600,"StringMergeSort",980.800,7333.000,10,20260524
"nearly_sorted",1600,"StringQuickSort",54.600,15808.500,10,20260524
"nearly_sorted",1700,"MSDRadixQuickSort",141.900,9127.600,10,20260524
"nearly_sorted",1700,"MSDRadixSort",284.400,4076.300,10,20260524
"nearly_sorted",1700,"MergeSort",629.700,20596.500,10,20260524
"nearly_sorted",1700,"QuickSort",273.400,255065.500,10,20260524
"nearly_sorted",1700,"StringMergeSort",1053.400,7848.100,10,20260524
"nearly_sorted",1700,"StringQuickSort",58.600,16746.100,10,20260524
"nearly_sorted",1800,"MSDRadixQuickSort",150.700,9695.900,10,20260524
"nearly_sorted",1800,"MSDRadixSort",294.000,4320.100,10,20260524
"nearly_sorted",1800,"MergeSort",684.700,22130.100,10,20260524
"nearly_sorted",1800,"QuickSort",294.200,269047.400,10,20260524
"nearly_sorted",1800,"StringMergeSort",1110.800,8420.800,10,20260524
"nearly_sorted",1800,"StringQuickSort",62.300,17565.200,10,20260524
"nearly_sorted",1900,"MSDRadixQuickSort",160.800,10282.700,10,20260524
"nearly_sorted",1900,"MSDRadixSort",313.100,4561.600,10,20260524
"nearly_sorted",1900,"MergeSort",725.900,23697.100,10,20260524
"nearly_sorted",1900,"QuickSort",313.000,284464.900,10,20260524
"nearly_sorted",1900,"StringMergeSort",1164.100,9038.000,10,20260524
"nearly_sorted",1900,"StringQuickSort",64.800,18698.400,10,20260524
"nearly_sorted",2000,"MSDRadixQuickSort",170.300,10868.300,10,20260524
"nearly_sorted",2000,"MSDRadixSort",333.300,4812.700,10,20260524
"nearly_sorted",2000,"MergeSort",770.800,25328.000,10,20260524
"nearly_sorted",2000,"QuickSort",319.700,297335.000,10,20260524
"nearly_sorted",2000,"StringMergeSort",1239.800,9659.300,10,20260524
"nearly_sorted",2000,"StringQuickSort",69.500,19753.500,10,20260524
"nearly_sorted",2100,"MSDRadixQuickSort",187.100,11458.000,10,20260524
"nearly_sorted",2100,"MSDRadixSort",363.300,5062.200,10,20260524
"nearly_sorted",2100,"MergeSort",827.600,26751.300,10,20260524
"nearly_sorted",2100,"QuickSort",345.200,313543.300,10,20260524
"nearly_sorted",2100,"StringMergeSort",1301.700,10210.500,10,20260524
"nearly_sorted",2100,"StringQuickSort",72.000,20873.200,10,20260524
"nearly_sorted",2200,"MSDRadixQuickSort",189.200,12056.200,10,20260524
